,,omega,omegaProp,psi,psiAvgProp
d34a577c98a63bae0e54f29c8b6b611901e8d3c62ad13b619fc09baf6c033e32,,1.0,1.0,0.0,0.0
b30dfc3bc98dd0e8d1597b15089bb180d7703dcc4fc41c2ac5d2b0112e5f82cd,,1.0,1.0,0.0,0.0
979cded1b235373c6d30bb43c068a580b5e087f8aedb183309142535093fb091,,1.0,1.0,0.0,0.0
d559ed90a181876d4e7e469e43fc51a73b9a78467233b717ee2637f09211d31b,,1.0,1.0,1.0,1.0
4a34981c4e3f0f7e78f170c24df8e11ca76fd95df3bae72e1042d66bbb7cce98,,1.0,1.0,1.0,1.0
f57f0e1757ae3e0a2da3c8e4a4cc347bab9e044274ef1714516e3bf1da2db186,,1.0,1.0,0.0,0.0
d223552b69f1eb716bd080ce30576d42a47d3a62924156fcb7e10f1c43f8536a,,1.0,1.0,0.0,0.0
16604f04473b3d670ae24b60d9594929679cfe2bb8a09e8845337f76181e35d9,,1.0,1.0,0.0,0.0
258a047004441fc08fdae0f7656a5ee9f02703b102402ba3090bcc780983203d,,1.0,1.0,1.0,1.0
2d2e2f50e9fd80c38735e38d1483645c0a57763d4acfdde0dff8b7b6eb108ea9,,1.0,1.0,0.0,0.0
513d7a90204c5c1117723034e6b55e93c84eb1aa81f292e5d1dc7931d226e7de,,1.0,1.0,1.0,1.0
9d241d7109eb9f9d5c9a4435754096bb729993bdae89809183959df4ab728619,,1.0,1.0,1.0,1.0
42c09b4822c360dcf73b974a71aaa3fdff0ee271c7577425a5d309660dfe617d,,1.0,1.0,0.0,0.0
86915ccebfd160072d9b80ddd43a53789a8f45c2abaf45d96a2e7cc5a5d67ea6,,1.0,1.0,0.0,0.0
ef3f0ef45c2faedfabbfaf2961b62e8a91170ff13e4055d4eb06b7a25010f04b,,1.0,1.0,1.0,1.0
70b7cf8f2d7804c2cdb86bed383a6a83aa99b5157704886d2bf27f62bea113b4,,1.0,1.0,0.0,0.0
de2cff7ec0fa1cae8fa548276163a72c73cf79bf2531c8e18e6edae3a6e3811b,,1.0,1.0,1.0,1.0
d31357c71f9e720828296d3ca39834fba56e90199787d8b64cb26f828a85cd4a,,1.0,1.0,0.0,0.0
d4cae5c673abdfe151393ef467c7a5c7acb4d73b4f5dc67ebca8b1daa4e3f5b5,,1.0,1.0,0.0,0.0
4e853acd4c3d5004452e736c1688d8a4244d02944731cf79ee05a15467706b6d,,1.0,1.0,0.0,0.0
f418578201fe096c61a10266caedabf296888208887da8ec27a10997f9b1af92,,1.0,1.0,1.0,1.0
e944424effd90d2eae9f007102143f9f7c223b6bbd060e55312196997fda6914,,1.0,1.0,0.0,0.0
e4bcd67d875d616eef0a9ea1dee4c5029ce993c4e966f93bb195cdc8bcb58768,,1.0,1.0,1.0,1.0
798f793b242941fceef8ed0e33d3aa985b80811ce5eec05f78c3c8ff004281ab,,1.0,1.0,0.0,0.0
826d80e1a3e3aacdb5811b7c18e46a1fe54ecdb99bbbb57eb984964c283bd03d,,1.0,1.0,0.0,0.0
8aafdd0d0b9d7f6251a6131c4062262bbcc121f0aba9a38931dea24f652e246e,,1.0,1.0,0.0,0.0
f83f79b3cb016bcb224ae956e667020adc1e9716511fc06a1b6e0cb2dbf668b0,,1.0,1.0,1.0,1.0
b668699d5399c989f43cba46d1e314a815b3c54bc63df2a9255a17323cc2dbf7,,1.0,1.0,0.0,0.0
fe573e8e67f071c6304511a9d97e0535a81b08f3a6ba67a9478bac7f1ad6d9c8,,1.0,1.0,0.0,0.0
4b67dbf4141cf4f4f491568bc0b38375b635be7fb5f0c698519d78fe087dbada,,1.0,1.0,0.0,0.0
a2ab5d4d6bff1e7e795c6d040210a5c66d076ac3653473bb0306d3d6ac6a88f7,,1.0,1.0,1.0,1.0
48becd0c7c93fef82620bfa2ce8c2ee0d11295a9ab57ec1a2adacddc29d03551,,1.0,1.0,1.0,1.0
3423acf613feab03812cb523a6a224ea2417435f3f4fbdc81141db1728286106,,1.0,1.0,0.0,0.0
7cb6acad5979c9365a740fbef8b6f1b2dc8f8c70303ceb39f32622b96fba057b,,1.0,1.0,0.0,0.0
668e590a0386a2a6ecae28ddb3e5fa0dbecca1be393ce094df09c0c15b16d0c3,,1.0,1.0,0.0,0.0
